,word1,word2,tag,BTag,label
0,a,viSvasan,Tn,T,T
1,SaSAfka,vakwre,Bsu,B,B
2,ni,veSanam,Tp,T,T
3,SAswra,niwyAH,Bs6,B,B
4,mArga,AyAsasya,T6,T,T
5,Arya,varwmanaH,Bs6,B,B
6,sa,uxyogam,BvS,B,B
7,maXya,XArAyAm,T1,T,T
8,vExya,vyapASrayAH,Bs6,B,B
9,a,BIruwvam,Tn,T,T
10,bIja,AxIni,Bs6,B,B
11,apAlA,aBiXAnA,K7,K,T
12,sa,SabxaH,BvS,B,B
13,sa,Palam,BvS,B,B
14,vi,krewuM,Tp,T,T
15,wapo,XanAH,Bs6,B,B
16,xAnavIra,nAmnA,Bs6,B,B
17,suKa,uxayAn,Bs7,B,B
18,nir,Bayena,Bvp,B,B
19,nikqwi,prajFaH,Bs6,B,B
20,saw,BAvaM,K1,K,T
21,IRA,xanwena,Bs6,B,B
22,sa,aparAXaH,BvS,B,B
23,mahaw,aSanaH,Bs6,B,B
24,eka,agryaM,Bs6,B,B
25,apa,karRaNam,Tp,T,T
26,wri,lokam,K1,K,T
27,kqwa,AhnikaH,Bs6,B,B
28,mAlavIya,Bavane,T6,T,T
29,unmawwa,rAkRasaH,K1,K,T
30,svinna,gAwraH,Bs6,B,B
31,inxra,wulyaH,T3,T,T
32,mlAna,vaxanaH,Bs6,B,B
33,sa,viswaram,BvS,B,B
34,pApa,rakRAMsi,K3,K,T
35,pAxa,guNAH,T6,T,T
36,upa,wiRTawi,A1,A,A
37,pata,putakam,T6,T,T
38,saMskqwa,BArawyAH,K1,K,T
39,xqDa,vikramaH,Bs6,B,B
40,prawi,icCakaH,A1,A,A
41,saMmAna,SuSrURA,Ds,D,D
42,viSAla,kAyam,Bs6,B,B
43,kqwa,vErANAm,Bs3,B,B
44,pawi,gqhe,T6,T,T
45,UrNa,nABiH,Bs6,B,B
46,Xarma,vqwwaM,Bs6,B,B
47,jvara,anwe,T6,T,T
48,viciwra,vyavahAreNa,K1,K,T
49,giri,guhAm,T6,T,T
50,bahu,viXAnAm,K1,K,T
51,SaSa,afkaH,Bs6,B,B
52,paFcasahasra,rASim,K1,K,T
53,pra,vrajiwe,Tp,T,T
54,cIna,xeSaH,K7,K,T
55,smiwa,pUrvakam,BvS,B,B
56,mahA,aparAXAH,Bs6,B,B
57,paFca,rAwrikA,Bvsp,B,B
58,mAwulifga,niBAH,T3,T,T
59,anu,rUpaM,A1,A,A
60,laGu,kAlaH,K1,K,T
61,uxaf,muKaM,Bs6,B,B
62,prawi,koNam,A1,A,A
63,apa,arWakam,Tp,T,T
64,mahaw,manwriNam,K1,K,T
65,AkarRaNa,vikarRaNena,Ds,D,D
66,svasWa,cewA,Bs6,B,B
67,upajAwa,vismaya,Bs4,B,B
68,wilaka,Axi,Bs6,B,B
69,Akula,hqxayasya,K1,K,T
70,xivya,cakRuBiH,Bs6,B,B
71,amAwya,vallaBAnAM,K1,K,T
72,kqwa,Agasam,Bs3,B,B
73,niyawa,mAnasaH,Bs3,B,B
74,saha,carAH,BvS,B,B
75,avyakwa,AwmA,Bs6,B,B
76,anwara,AwmA,K1,K,T
77,sa,uwsAhena,BvS,B,B
78,AjFA,vaSAw,T6,T,T
79,pra,xAwQn,Tp,T,T
80,siMhAsana,ArUDaH,T7,T,T
81,na,avalokya,Tn,T,T
82,kAla,prawIkRaNam,T6,T,T
83,uw,vigna,Tp,T,T
84,RodaSa,guNam,Bs6,B,B
85,sahasra,guH,Bs6,B,B
86,wri,vAram,Tds,T,T
87,kAma,ASayaH,Bs6,B,B
88,gawa,manyuH,Bs5,B,B
89,kawipaya,janAnAm,K1,K,T
90,xqRti,bANAH,K6,K,T
91,alpa,buxZXiByaH,Bs6,B,B
92,sawya,saMXAw,Bs6,B,B
93,rukmiNI,AxyAH,Bs6,B,B
94,a,kqwvA,Tn,T,T
95,gawa,asuM,Bs5,B,B
96,sva,geham,T6,T,T
97,sa,Avegam,BvS,B,B
98,Kinna,ASayAH,Bs6,B,B
99,alpa,sAraH,Bs7,B,B
100,XErya,vqwweH,Bs6,B,B
101,rAja,prAsAxam,T6,T,T
102,prasannawA,pUrvakam,Bs7,B,B
103,a,mawsarI,Tn,T,T
104,na,nimeRAByAm,Bsmn,B,B
105,Sukla,varNam,Bs6,B,B
106,uwWAna,SIlaH,Bs6,B,B
107,sa,uwkleSaH,BvS,B,B
108,pra,wArakANAm,Tp,T,T
109,mahenxra,niyogAw,T6,T,T
110,cariwa,vrawAH,Bs6,B,B
111,sWira,pOruRAn,Bs6,B,B
112,Rat,karmasu,Tds,T,T
113,nara,rAkRasaH,K7,K,T
114,niwya,uxyukwAH,T2,T,T
115,xaSaraWa,AxiBiH,Bs6,B,B
116,maXya,ahnaH,T1,T,T
117,viRa,hawAH,T3,T,T
118,xUra,saMsWaH,K1,K,T
119,Xarma,kuSalAH,T7,T,T
120,sa,BrAwqkasya,BvS,B,B
121,kArya,sixXaye,T6,T,T
122,kRINa,SakwiH,Bs6,B,B
123,sarva,xakRiNaH,Bs6,B,B
124,na,saxqSI,Tn,T,T
125,sarva3,vyUhEH,K1,K,T
126,vi,mawasya,Tp,T,T
127,na,paviwrAM,Tn,T,T
128,sa,praNAmaM,BvS,B,B
129,prawi,xawwam,Tp,T,T
130,kRINa,kAyam,Bs6,B,B
131,rawna,parIkRakANAm,T6,T,T
132,eka,vixyaH,Bs6,B,B
133,sa,punarnavam,BvS,B,B
134,BArawa,sarvakAraH,T6,T,T
135,wyakwa,ApaxaH,Bs3,B,B
136,agni,rUpam,Bs6,B,B
137,nimiliwa,newra,Bs6,B,B
138,Siva,AxyEH,Bs6,B,B
139,AxarSa,xampawI,K1,K,T
140,sarva,pApAnAM,K1,K,T
141,ORaXa,maFjURAm,T6,T,T
142,pari,samApya,Tp,T,T
143,maha,AwmAnaH,K1,K,T
144,mAwrA,AxiH,Bs6,B,B
145,nir,jaleByaH,Bs6,B,B
146,a,vaXyAH,Tn,T,T
147,prawi,niSam,A1,A,A
148,awi,XArmikam,Tp,T,T
149,rAja,xarSanIyA,T3,T,T
150,xawwa,AxaraH,Bs3,B,B
151,SUla,pANiH,Bs7,B,B
152,wapwa,SIwaM,K3,K,T
153,su,laBam,Tp,T,T
154,peya,apeyaM,DiV,D,D
155,SuBa,karmANaH,Bs6,B,B
156,ahava,jewAraH,T7,T,T
157,rAjya,SAsane,T6,T,T
158,aXika,maXurasya,Bs6,B,B
159,hqwa,jFAnAH,Bs6,B,B
160,bahu,xoRasya,Bs7,B,B
161,vigawa,pApaH,Bs5,B,B
162,su,XUpiwaH,Tp,T,T
163,sa,sIwaH,BvS,B,B
164,BAryA,xviwIya,K4,K,T
165,Agama,saMyukwaM,T3,T,T
166,yukwi,yukwEH,T3,T,T
167,lajjA,aruNam,T6,T,T
168,na,nqNyam,Tn,T,T
169,awIwa,upaXAn,Bs6,B,B
170,Amoxa,pramoxam,Ds,D,D
171,puRti,kAmAH,Bs6,B,B
172,wapas,vane,T6,T,T
173,cAra,newraH,Bs6,B,B
174,a,svapanaM,Tn,T,T
175,varma,newram,Ds,D,D
176,yaWA,BAgaM,A1,A,A
177,saf?koca,SIlA,Bs6,B,B
178,prawisaMhqwa,aMSuH,Bs3,B,B
179,iRtaka,uwWAw,T5,T,T
180,apagawa,sanwApam,Bs5,B,B
181,viSve,xevAH,K1,K,T
182,sa,SrIkawA,BvS,B,B
183,vyAmiSra,Awma,Bs6,B,B
184,XAnA,muRtim7,Bs6,B,B
185,lavaNa,varjyAH,Bs7,B,B
186,yaWA,ipsiwam,A1,A,A
187,su,gamam,Tp,T,T
188,waw,saxqSaH,T3,T,T
189,moxaka,KAxyEH,K1,K,T
190,mahaw,ASayAH,Bs6,B,B
191,an,awisnehaH,Tn,T,T
192,wvaramANa,maNdanA,Bs6,B,B
193,su,BARiwAm,K1,K,T
194,sa,sqjire,BvS,B,B
195,mahA,mAyasya,Bs6,B,B
196,A,sAyam,Tp,T,T
197,a,vijFAwaM,Tn,T,T
198,arXa,rAwrasya,T1,T,T
199,nir,vqnwA,Bvp,B,B
200,sa,xArANAM,BvS,B,B
201,Srowra,AxIni,Bs6,B,B
202,samapa,varjiwe,A1,A,A
203,SmaSru,rahiwa,T3,T,T
204,Bagna,KadgO,Bs6,B,B
205,rakRi,puruREH,K1,K,T
206,sarva,samAramBaH,K1,K,T
207,a,pariNAmi,Tn,T,T
208,ruxran,seviwaH,T3,T,T
209,pApa,rAkRasaH,K1,K,T
210,inxra,AxyAH,Bs6,B,B
211,Suci,kAmam,T7,T,T
212,sawya,Palena,T6,T,T
213,na,yukwam,Tn,T,T
214,sena,aXikAriNA,T6,T,T
215,nir,BayaM,Bs7,B,B
216,awi,vilambiwam,Tp,T,T
217,rakwa,paxmEH,K1,K,T
218,yojana,anwariwa,T5,T,T
219,xqDa,manaskA,Bs6,B,B
220,vara,yAwri,T6,T,T
221,anavarawa,niHsqwEH,K1,K,T
222,paxma,ayuwaM,Bss,B,B
223,uwwara,kriyAm,K1,K,T
224,nir,AramBaH,Bs6,B,B
225,na,brAhmaNyam,Tn,T,T
226,ruci,pUrvakam,Bs7,B,B
227,pUrva,vEraM,K1,K,T
228,Saswra,pANayaH,Bs6,B,B
229,vit,mUwraM,Ds,D,D
230,krUra,BUwAni,T2,T,T
231,sarvakAla,vicArI,T7,T,T
232,vAwa,parikRaye,T6,T,T
233,suvarNa,praBaH,BvU,B,B
234,BIma,vegEH,Bs6,B,B
235,su,anurakwA,K1,K,T
236,sAXu,mahABAgena,K2,K,T
237,SIla,mUlA,Bs6,B,B
238,maw,prapOwram,T6,T,T
239,Sruwi,parAyaNAH,T7,T,T
240,sAXu,mahASayam,K2,K,T
241,na,icCAm,Tn,T,T
242,vixiwa,AwmanA,Bs3,B,B
243,xarSana,uwsukAnAm,T6,T,T
244,SIla,xoReNa,T6,T,T
245,kusuma,XanvanaH,Bs6,B,B
246,asurAmbikA,nAmikA,Bs6,B,B
247,a,SocanwaH,Tn,T,T
248,kaPa,karma,T6,T,T
249,na,safKyAwAH,Tn,T,T
250,xur,bala,Bvp,B,B
251,harRa,varRam,T6,T,T
252,nibaxXa,wAlakam,Bs6,B,B
253,na,cinwayaw,Tn,T,T
254,SuBa,AwmanAm,Bs6,B,B
255,caraNa,kamalam,K5,K,T
256,paFcaSawa,rupyakANi,K1,K,T
257,sawya,saMkASAH,Bs6,B,B
258,peya,Axi,Bs6,B,B
259,Avega,pUrvakam,Bs5,B,B
260,kAla,saMcoxiwA,T3,T,T
261,mahA,mUlAH,Bs6,B,B
262,kiM,gowrA,Bs6,B,B
263,waw,Awma,Bs6,B,B
264,xawwa,vaswuni,K1,K,T
265,xqRti,pAwa,T3,T,T
266,na,SAnwaH,Tn,T,T
267,nayana2,aSrUNi,T5,T,T
268,mallikA,nAmikayA,Bs6,B,B
269,prakqwi,SIwAH,Bs6,B,B
270,sa,Akulam,BvS,B,B
271,na,calaH,Tn,T,T
272,sa,parivArA,BvS,B,B
273,uxaXi,niBam,T3,T,T
274,sa,nAgaram,BvS,B,B
275,mahA,buxXiH,Bs6,B,B
276,paryavaxAwa,SruwAH,Bs6,B,B
277,pari,wyajya,Tg,T,T
278,waw,svaBAvAw,T6,T,T
279,sax,vacanam,T6,T,T
280,viruxXa,upakramaH,Bs6,B,B
281,vaswra,ABURaNam,Ds,D,D
282,pUwa,pApmAnaH,K1,K,T
283,praveRtu,kAmA,Bs6,B,B
284,bahu,viswaram,Bvsp,B,B
285,nir,buxXiH,Bvp,B,B
286,hawa,bAnXavA,Bs6,B,B
287,vexa,ukwAH,T3,T,T
288,evaM,viXena,Bs6,B,B
289,nir,BayAH,Bs6,B,B
290,Agama,niScayAw,T7,T,T
291,maha,qxXiM,Bs6,B,B
292,su,niSiwaH,K1,K,T
293,an,qwAw,Tn,T,T
294,xur,ganXa,Tp,T,T
295,BArawIya,mahilA,K1,K,T
296,paFca,guNAH,Tds,T,T
297,hqRta,romA,Bs6,B,B
298,yukwi,safgawam,T3,T,T
299,xvi,viXaM,Bvsp,B,B
300,sva,BAryAm,T6,T,T
301,a,saMKyAkam,Bsmn,B,B
302,Xarma,Asanam,T6,T,T
303,vqRa,garBaH,Bs6,B,B
304,upari,BAge,K1,K,T
305,mawsya,pASe,T6,T,T
306,uxyawa,SAsanam,Bs6,B,B
307,xeha,mArxavam,T6,T,T
308,a,waWyAn,Tn,T,T
309,Xarma,aviroXinaH,T6,T,T
310,rOxra,praxarSinaH,T6,T,T
311,xurjana,AcariwaM,T3,T,T
312,kumBI,XAnyEH,Bs6,B,B
313,gawa,Agawam,DiV,D,D
314,aBi,gamya,Tg,T,T
315,su,vIryam,Bs7,B,B
316,su,guNam,Bs6,B,B
317,rakwa,sPulifgA,K1,K,T
318,rAjIva,locana,BsU,B,B
319,vi,mukwena,Tp,T,T
320,na,viGnena,Tn,T,T
321,prawyakRa,XarmANaH,Bs6,B,B
322,pra,SikRiwA,Tp,T,T
323,Bavaw,praxawwAni,T6,T,T
324,BIma,parAkramaH,Bs6,B,B
325,spaRta,xaNdasya,Bs6,B,B
326,nir,aMkuSaH,Bvp,B,B
327,a,yukwawA,Tn,T,T
328,an,asUyakaH,Bsmn,B,B
329,Amra,Palena,K7,K,T
330,mUrKa,pragalBena,DiV,D,D
331,xaSan,AwmA,Bs6,B,B
332,sa,vixyuwaH,BvS,B,B
333,SleRma,aXikaH,Bs7,B,B
334,Saswra,niwyaH,Bs7,B,B
335,viviXa,aswrANAm,K1,K,T
336,xaSa,parAn,Bvsp,B,B
337,sajjana,BARiwam,T3,T,T
338,na,sAPalyam,Tn,T,T
339,a,saMKyeyA,Tn,T,T
340,mawsya,maXye,T6,T,T
341,prawiveSi,rAjye,T6,T,T
342,vixyA,aXikam,T3,T,T
343,guru,kAya,K1,K,T
344,loka,sAkRikam,Bs6,B,B
345,xamana,maharReH,K7,K,T
346,a,rogaH,Bsmn,B,B
347,xuRta,mexasaH,Bs7,B,B
348,na,SivABiH,Tn,T,T
349,bAbU,mahASayasya,K2,K,T
350,mAMsa,asqk,Ds,D,D
351,brAhmaNa,qRaBe,K5,K,T
352,piwq,AxO,Bs6,B,B
353,kRamA,niwyaH,Bs7,B,B
354,ku,pAwrakEH,K1,K,T
355,sneha,pUrvaH,T3,T,T
356,prawi,pUjayan,Tp,T,T
357,rAjya,AxiBiH,Bs6,B,B
358,kiMkarwavya,vimUDA,T3,T,T
359,lakRmaNa,reKayA,K1,K,T
360,XUma,kewana,Bs6,B,B
361,su,rakRiwA,Tp,T,T
362,pra,karwavyaM,Tp,T,T
363,pApa,buxXiH,Bs6,B,B
364,nir,upAyA,Bvp,B,B
365,aRtan,xikRu,Km,K,T
366,vijiwa,inxriyaH,Bs3,B,B
367,vikqwa,ceRtO,Bs6,B,B
368,na,SocyAn,Tn,T,T
369,niH,Bayasya,Bs5,B,B
370,kRAma,nivAraNam,T6,T,T
371,kRINa,kalmaRAH,Bs6,B,B
372,BikRA,jIvina,Bs6,B,B
373,manuja,wApasena,K2,K,T
374,sa,lAjam,BvS,B,B
375,sva,janeRu,T6,T,T
376,sahasra,aMSuH,Bs6,B,B
377,nArAyaNan,samaH,Bs6,B,B
378,aBIRta,hanane,K1,K,T
379,muni,veRAH,Bv,B,B
380,uRNa,woye,K1,K,T
381,sa,sarRapaM,BvS,B,B
382,wri,vikrame,Bs6,B,B
383,SiRta,AkqwiH,K1,K,T
384,inxra,AxyAn,Bs6,B,B
385,saMSraya,vAsinAm,T6,T,T
386,Awma,wyAgI,T6,T,T
387,paviwra,mOliH,Bs6,B,B
388,wvaw,arWam,T4,T,T
389,kAla,parIwaH,T3,T,T
390,Cinna,sWUNaM,Bs3,B,B
391,sva,BAgyam,T6,T,T
392,eka,vaswrAM,Bs6,B,B
393,gADa,varcasaH,Bs6,B,B
394,waw,prapUrwO,T6,T,T
395,piSiwa,aSanaH,Bs6,B,B
396,prAk,muKaH,Bs6,B,B
397,nir,IhaM,Bs6,B,B
398,parama,sunxarI,K1,K,T
399,yAna,praveSAya,T7,T,T
400,varAha,rUpiNaM,Bs6,B,B
401,buxZXi,mohiwaH,T6,T,T
402,sa,vixyAnAm,BvS,B,B
403,a,sakqw,Tn,T,T
404,hawa,rAjAni,Bs6,B,B
405,paFca,varRasya,Tdt,T,T
406,yaWA,viXam,A1,A,A
407,viRaNNa,vaxanaH,Bs6,B,B
408,vyavahAra,patuH,T7,T,T
409,bahu,SruwaH,Bs6,B,B
410,Saf?kiwa,ciwwA,Bs6,B,B
411,vikrama,buxXayaH,Bs6,B,B
412,paviwriwa,lokaH,Bs6,B,B
413,na,vaSa,Tn,T,T
414,a,viXavA,Bsmn,B,B
415,karpUragOra,aBiXAnam,Bs6,B,B
416,viBakwa3,puRpaH,Bs7,B,B
417,asmawa,gqham,T6,T,T
418,sama,xuHKasuKaH,Bs6,B,B
419,arXa,canxram,K1,K,T
420,sa,rOkRyam,BvS,B,B
421,a,nisqRtAni,Tn,T,T
422,Awma,guNEH,K1,K,T
423,Sukla,puRpANi,K1,K,T
424,laguda,AyuXEH,Bs6,B,B
425,pracCanna3,rawna,Bs7,B,B
426,xivaH,okasaH,Bs6,B,B
427,xivA,rAwraM,DiV,D,D
428,sa,BeRajA,BvS,B,B
429,ku,cakram,Tk,T,T
430,na,boXA,Tn,T,T
431,vAnara,SAvakaH,T6,T,T
432,su,mafgalI,Tp,T,T
433,nir,ASA,BvP,B,B
434,xus,warAm,Bsp,B,B
435,arha,varNaM,K1,K,T
436,Xarma,ArAmAH,Bs6,B,B
437,pANi,svanikAH,Bs6,B,B
438,maw,vqkReRu,T6,T,T
439,apa,varNiwam,Tp,T,T
440,cawurviMSawi,pafkajam,Km,K,T
441,mAyA,upajIvanaH,Bs6,B,B
442,upa,sWiwAnAm,Tp,T,T
443,sva,maNdam,Tg,T,T
444,su,vAcyAH,Tp,T,T
445,an,uwwamaH,Bs5,B,B
446,sa,prema,BvS,B,B
447,mqxu,kAle,K1,K,T
448,sva,anuRTiwAH,T7,T,T
449,Gora,Awmane,K1,K,T
450,sa,pawnIkAya,BvS,B,B
451,eka,agrawAM,T2,T,T
452,kqpANa,haswam,Bs6,B,B
453,xAra,nispqhaH,T7,T,T
454,amara,saMkASaH,T6,T,T
455,uwWAna,XIraM,T7,T,T
456,nir,xayaM,Bvp,B,B
457,rAjya,sevAyAm,T6,T,T
458,sa,paricCaxaH,BvS,B,B
459,gulPa,pAxeRu,Ds,D,D
460,eka,nikewanAH,Bs6,B,B
461,sva,cariwEH,T3,T,T
462,kotara,Alayam,Bs6,B,B
463,SeRa,jIvanam,K1,K,T
464,nir,arWA,Bs5,B,B
465,afgaxa,AxIn,Bs6,B,B
466,sa,kranxam,BvS,B,B
467,lamba,kUrcam,Bs6,B,B
468,vqxXi,AxIn,Bs6,B,B
469,kalpa,sAXyam,T3,T,T
470,na,parigrahe,Tn,T,T
471,xala,agram,T6,T,T
472,kqwa,arWaH,Bs6,B,B
473,manorama,AgAra,K1,K,T
474,na,vyaBicAreNa,Bsmn,B,B
475,kArya,niyukwA,T7,T,T
476,na,aBijFam,Tn,T,T
477,vi,nirmiwam,Tp,T,T
478,na,cewasaH,Bs6,B,B
479,sahana,SIlaH,Bs6,B,B
480,vi,naRtAH,Tp,T,T
481,vi,vqxXeByaH,Tp,T,T
482,a,kRaraM,Bsmn,B,B
483,muni,SApaH,T6,T,T
484,paraspara,ASleRAw,T6,T,T
485,viwwa,parEH,Bs6,B,B
486,A,xAwuM,Tp,T,T
487,SArfga,pANe,Bv,B,B
488,sa,xuKam,BvS,B,B
489,pra,vqwwam,Tp,T,T
490,a,surAH,Tn,T,T
491,sarvaxeva,aBiXasya,K1,K,T
492,sa,anuvAsanEH,BvS,B,B
493,sama,pramuxiwA,T2,T,T
494,praSAsana,anuSAsanam,Ds,D,D
495,sam,AcAraH,Tp,T,T
496,jIvanwi,mUlaM,T6,T,T
497,nivqwwi,lakRaNaH,Bs6,B,B
498,ApoWiwa,agraM,Bs6,B,B
499,eksapresa,AKyA,Bs6,B,B
500,upa,jIvawaH,Tp,T,T
501,a,xravaM,Tn,T,T
502,rakwa,muKaH,Bs6,B,B
503,sa,wvaraH,Bvs,B,B
504,jiwa,AsanO,Bs6,B,B
505,anXakAra,AvqwA,T3,T,T
506,xawwa,ciwwaH,Bs6,B,B
507,roga3,upacAram,T6,T,T
508,sam,AganwukAnAm,Tp,T,T
509,yaw,arWam,T4,T,T
510,jiwa,AwmanA,T3,T,T
511,sahasra,pawiH,T6,T,T
512,yajFa,AwmA,Bs6,B,B
513,nawa,newrayA,Bs6,B,B
